user_id,email,username,age,subscription,transaction_date,city,region,product_category,price,status,store_id,raw_timestamp
655,user655@example.com,user_655,30,Premium,2023-05-23,Chicago,West,Toys,,active,S007,2023-08-27 16:38:00
28,user28@example.com,user_28,59,Standard,2024-03-05,Phoenix,South,Sports,19.68,inactive,S014,2023-12-15 08:09:00
221,user221@example.com,user_221,20,Basic,2023-04-10,Dallas,North,Sports,1097.3,active,S013,2023-03-22 17:18:00
850,user850@example.com,user_850,38,Standard,2023-07-16,Chicago,West,Books,1477.98,inactive,S004,2024-01-25 08:29:00
651,user651@example.com,user_651,37,Premium,2024-11-17,Los Angeles,West,Food,374.77,,S013,2023-10-04 20:44:00
571,user571@example.com,user_571,64,Premium,2023-08-23,New York,North,Toys,324.36,pending,S007,2024-11-02 15:25:00
659,user659@example.com,user_659,30,Standard,2024-07-28,Boston,North,Toys,605.11,inactive,S005,2024-06-05 15:05:00
774,,user_774,55,Premium,2024-11-27,Seattle,West,Toys,1494.22,pending,S018,2023-01-12 21:46:00
118,user118@example.com,user_118,32,Standard,2023-12-15,Chicago,North,Toys,14.84,pending,S017,2023-07-02 16:58:00
109,user109@example.com,user_109,55,Standard,2024-09-15,Phoenix,East,Furniture,813.67,active,S020,2023-11-28 15:01:00
115,user115@example.com,user_115,34,Premium,2023-03-01,Phoenix,West,Clothing,1225.87,inactive,S005,2024-11-06 15:35:00
170,user170@example.com,user_170,42,Premium,2024-07-06,Phoenix,North,Toys,978.32,,S017,2024-04-07 03:15:00
231,user231@example.com,,50,Premium,2024-08-25,Phoenix,West,Clothing,97.72,active,S002,2023-12-05 02:32:00
244,user244@example.com,user_244,49,Premium,2024-08-07,Denver,South,Books,1213.17,inactive,S004,2023-04-10 21:27:00
363,user363@example.com,user_363,61,Premium,2024-11-20,Chicago,West,Toys,1202.88,active,S008,2023-07-16 06:34:00
460,user460@example.com,user_460,44,Premium,2023-03-19,Miami,West,Electronics,815.48,active,S003,2023-08-31 05:26:00
498,user498@example.com,user_498,18,Premium,2024-01-24,New York,South,Sports,1179.84,pending,S014,2024-12-14 23:50:00
